Wavelength,K-L Fiber
2.203,0.99584499
2.204,0.99584732
2.205,0.99584966
2.206,0.995852
2.207,0.99585434
2.208,0.99585668
2.209,0.99585901
2.21,0.99586135
2.211,0.99586369
2.212,0.99586603
2.213,0.99586836
2.214,0.9958707
2.215,0.99587304
2.216,0.99587538
2.217,0.99587772
2.218,0.99588005
2.219,0.99588239
2.22,0.99588473
2.221,0.99589684
2.222,0.99590896
2.223,0.99592107
2.224,0.99593318
2.225,0.9959453
2.226,0.99595741
2.227,0.99596952
2.228,0.99598164
2.229,0.99599375
2.23,0.99600587
2.231,0.99601798
2.232,0.99603009
2.233,0.99604221
2.234,0.99605432
2.235,0.99606643
2.236,0.99607855
2.237,0.99609066
2.238,0.99610277
2.239,0.99611489
2.24,0.996127
2.241,0.99613162
2.242,0.99613624
2.243,0.99614085
2.244,0.99614547
2.245,0.99615009
2.246,0.9961547
2.247,0.99615932
2.248,0.99616394
2.249,0.99616855
2.25,0.99617317
2.251,0.99617779
2.252,0.99618241
2.253,0.99618702
2.254,0.99619164
2.255,0.99619626
2.256,0.99620087
2.257,0.99620549
2.258,0.99621011
2.259,0.99621473
2.26,0.99621934
2.261,0.99622785
2.262,0.99623636
2.263,0.99624487
2.264,0.99625339
2.265,0.9962619
2.266,0.99627041
2.267,0.99627892
2.268,0.99628743
2.269,0.99629594
2.27,0.99630445
2.271,0.99631296
2.272,0.99632147
2.273,0.99632998
2.274,0.99633849
2.275,0.99634701
2.276,0.99635552
2.277,0.99636403
2.278,0.99637254
2.279,0.99638105
2.28,0.99638956
2.281,0.99639845
2.282,0.99640734
2.283,0.99641623
2.284,0.99642512
2.285,0.99643401
2.286,0.9964429
2.287,0.99645178
2.288,0.99646067
2.289,0.99646956
2.29,0.99647845
